id,item,keyword,latitude,longitude,ipv4
846,Object-based,Garden,12.5115408404,93.6465410301,127.71.162.198
847,Integrated,Health,21.8865724223,89.7645690445,85.251.138.146
848,Compatible,Kids,25.0078995534,89.4723627859,10.101.239.86
849,asynchronous,Automotive,33.2067064315,77.6745066669,67.202.27.8
850,Centralized,Movies,10.179851324,75.5328471636,18.158.21.230
851,responsive,Grocery,31.8755457145,87.6839930712,90.20.142.84
852,Implemented,Industrial,10.6627923821,80.5144573408,159.117.50.61
853,mission-critical,Beauty,35.4431698652,83.5594173889,89.15.248.3
854,Customizable,Health,9.4774460347,86.0144789278,13.75.203.255
855,structure,Sports,23.5179920235,74.8143024513,63.173.198.84
856,24/7,Grocery,36.5497130834,77.2852457946,40.141.149.92
857,value-added,Tools,17.830575485,75.0644725742,114.96.145.37
858,collaboration,Outdoors,23.9504838391,86.6783427462,229.12.0.217
859,Front-line,Jewelery,13.6464451374,73.8997918726,144.73.42.124
860,empowering,Automotive,22.8790527701,76.5515496062,144.52.248.248
861,Open-architected,Games,34.8960450095,94.1488871452,95.228.206.185
862,Balanced,Sports,25.8250961965,86.5355024234,50.9.60.232
863,Digitized,Outdoors,15.2982740243,80.7650724025,203.120.213.59
864,knowledge user,Music,9.2589890028,72.5350156639,16.122.118.29
865,user-facing,Clothing,8.5915205763,94.962305151,33.230.242.106
866,matrix,Music,36.9966190349,85.4484313232,216.205.107.26
867,optimal,Industrial,20.2380629294,88.035588232,82.148.75.73
868,Networked,Garden,36.8981321185,74.7687305455,17.249.52.186
869,interactive,Music,22.2594375706,84.6274592497,104.248.129.95
870,object-oriented,Jewelery,18.6434603155,75.6778130276,251.138.87.155
871,paradigm,Health,22.7834556922,79.8202226108,52.228.97.127
872,Sharable,Electronics,37.3359755172,86.8089400725,117.93.197.40
873,tangible,Books,25.9877147862,90.8225075204,19.226.18.193
874,Open-source,Shoes,18.6549849484,73.7223964251,238.155.212.22
875,Integrated,Electronics,22.8817812116,88.3824666978,245.50.234.81
876,asymmetric,Books,21.1347151708,82.486371938,157.21.107.111
877,standardization,Outdoors,18.8585900762,81.6819687791,60.169.103.123
878,Realigned,Grocery,9.3852085547,84.7234138436,178.67.106.149
879,Intuitive,Home,8.8651741945,91.748442796,139.133.90.216
880,Ameliorated,Jewelery,19.2946727198,82.7618723798,30.77.74.87
881,Networked,Garden,28.7649608112,90.9334329103,249.194.185.210
882,superstructure,Kids,9.0372648759,75.7141408189,72.253.83.70
883,user-facing,Jewelery,35.0133391018,71.0238011333,28.149.108.157
884,Cross-platform,Movies,8.5045837467,74.5116361713,144.244.243.177
885,neutral,Automotive,12.5050554269,94.2221142844,143.101.60.253
886,utilisation,Grocery,21.0140769209,84.1455060579,174.111.192.48
887,Reactive,Garden,11.2625123382,78.7847214667,235.63.223.72
888,database,Movies,9.4969274809,78.9994572851,222.239.16.137
889,installation,Industrial,26.0412650828,72.4517823574,132.46.60.3
890,4th generation,Clothing,16.0555355211,70.817956766,14.0.62.80
891,paradigm,Electronics,11.6762348519,83.0883357304,68.221.146.149
892,next generation,Garden,15.7300853188,78.5982001319,120.127.189.158
893,eco-centric,Garden,15.9267233364,76.2680468457,34.195.117.93
894,high-level,Automotive,9.4698776133,68.9038473112,111.34.70.22
895,pricing structure,Jewelery,9.2037673421,82.6920046666,245.80.142.136
896,intangible,Garden,35.619606828,88.8563480021,176.84.249.251
897,system-worthy,Beauty,36.9883101036,89.5895721049,28.165.194.214
898,Expanded,Games,19.0970328402,78.6061669224,149.194.93.68
899,Vision-oriented,Games,36.3189711863,72.4478758071,207.124.117.68
900,contextually-based,Toys,10.9674230071,82.6286164232,213.127.142.32
901,Upgradable,Tools,35.0627588156,78.3384404014,84.218.78.148
902,mobile,Tools,35.8593084854,94.8790178661,190.248.217.90
903,content-based,Clothing,30.9794522491,86.8336366099,58.189.175.202
904,product,Games,14.2782500721,69.9606234515,38.112.39.213
905,mission-critical,Jewelery,13.3327916206,74.4420110363,116.104.161.246
906,Multi-channelled,Shoes,22.3697557769,73.1864073035,99.29.43.212
907,Virtual,Kids,18.1514162604,76.782175309,59.97.204.125
908,Optimized,Outdoors,21.0891300521,91.5373253285,192.112.83.89
909,access,Shoes,18.1477983866,80.7722390183,10.247.214.78
910,client-server,Books,28.2002048367,77.7021405376,238.40.188.11
911,Customizable,Music,10.5960699484,92.2027107429,250.204.253.171
912,bandwidth-monitored,Shoes,35.9140075793,73.9990009479,105.130.206.171
913,asynchronous,Health,10.5836501514,86.7983064399,231.9.39.29
914,Persevering,Garden,35.0474780409,69.6347277962,207.74.151.0
915,human-resource,Sports,26.5443624147,88.112733114,236.222.124.23
916,Optional,Tools,17.8255042249,85.5825768692,187.127.6.77
917,policy,Beauty,8.6087589716,80.258276701,125.103.203.153
918,Reactive,Tools,34.6210500261,74.7592650513,86.82.80.168
919,Reactive,Games,15.5138890841,70.9692067379,9.19.130.34
920,function,Games,36.9608522048,78.9903815873,117.249.64.82
921,Enterprise-wide,Kids,18.8676459081,94.1172172105,68.207.102.158
922,infrastructure,Books,29.8710306216,90.2552317809,6.49.17.95
923,uniform,Music,37.0515889891,72.3109774695,123.213.177.39
924,Team-oriented,Shoes,14.6004349532,79.663825228,236.222.20.149
925,artificial intelligence,Computers,18.3962794067,84.135037269,162.142.27.114
926,Team-oriented,Industrial,12.8458057132,93.3550640297,133.51.104.167
927,value-added,Outdoors,35.0682255163,72.6016302912,55.140.50.93
928,web-enabled,Grocery,10.420851699,69.0429610771,244.146.19.98
929,optimal,Books,37.4937343227,82.6321237647,228.81.86.192
930,function,Toys,31.4028766411,93.216374917,55.110.174.181
931,budgetary management,Jewelery,22.6575503793,77.3078459988,76.179.36.81
932,Multi-channelled,Grocery,29.3548676569,77.5674241735,161.26.88.247
933,parallelism,Sports,16.158374684,92.8422120199,210.68.149.13
934,even-keeled,Health,21.8309652413,90.2888913697,167.179.64.60
935,Reverse-engineered,Music,9.2333905901,79.4506126869,145.26.181.203
936,User-centric,Books,23.1763346536,75.0057406493,93.210.181.31
937,function,Outdoors,22.862178697,96.3213099907,140.230.44.179
938,superstructure,Home,30.1575176472,82.2444324449,41.49.133.22
939,motivating,Grocery,18.1651144872,78.8218228056,148.25.201.99
940,throughput,Grocery,34.3729158301,80.6183277745,212.206.45.70
941,collaboration,Automotive,14.7146287081,94.4234894544,230.238.56.188
942,Re-engineered,Automotive,15.4348341471,87.1390671451,63.147.83.73
943,solution,Sports,20.7700943415,76.015355446,70.12.36.231
944,Inverse,Industrial,29.2762463538,87.7974761267,71.237.128.200
945,Cross-group,Home,11.8907021866,81.0993646488,8.183.48.243
946,Implemented,Music,36.8359826985,90.1757266336,246.173.0.121
947,Optimized,Jewelery,30.9732962597,94.3830826604,152.132.159.111
948,Automated,Jewelery,10.0428183307,73.3919351661,216.253.236.254
949,frame,Jewelery,15.7634444723,80.5007803727,248.48.233.89
950,analyzer,Industrial,25.4696398081,96.8803359395,218.250.144.36
951,Configurable,Grocery,14.6303515509,70.5743124366,190.99.237.39
952,system engine,Garden,23.3644528342,74.8412431373,77.44.226.20
953,Fundamental,Sports,27.0289136844,84.8614414915,178.165.97.112
954,interactive,Garden,18.3272481454,90.9377734746,130.128.174.14
955,web-enabled,Computers,11.4279601582,82.424900244,165.7.98.53
956,Down-sized,Electronics,34.845617403,89.7868055681,83.233.21.246
957,Streamlined,Outdoors,28.1400813768,96.0590997588,14.66.16.145
958,Cloned,Electronics,9.2103718572,95.2038063661,150.224.204.127
959,3rd generation,Clothing,34.3252829356,74.9910225294,63.51.131.177
960,methodology,Books,27.0731716648,86.3061592154,181.5.228.251
961,Multi-layered,Games,11.2548642858,83.2739426101,96.123.48.171
962,Triple-buffered,Shoes,17.4345587728,83.4454765315,208.127.206.107
963,Exclusive,Jewelery,22.099550799,95.9485020346,16.131.82.150
964,zero defect,Music,15.4335921995,83.3340437866,198.150.185.163
965,Optional,Outdoors,18.4185018772,93.9428333643,3.120.128.72
966,Devolved,Home,29.6603692569,84.3439181206,168.1.2.62
967,web-enabled,Sports,22.3286553865,72.7852931159,164.225.189.48
968,Open-architected,Baby,26.8388722279,83.2264476314,170.82.255.180
969,Optional,Baby,19.5898781215,81.5654725092,230.234.19.0
970,utilisation,Grocery,31.4782876434,85.4553255769,168.149.165.231
971,reciprocal,Kids,16.8924506158,82.5730288016,66.163.57.46
972,policy,Grocery,12.5199116158,83.3123836669,199.88.235.63
973,ability,Toys,31.5625248508,96.2513952238,215.106.143.190
974,human-resource,Home,22.275137166,81.7243000986,22.17.78.226
975,User-friendly,Music,9.5596855192,95.1182555167,223.166.205.42
976,hub,Electronics,25.8672597984,72.7712920722,64.65.221.4
977,tertiary,Shoes,27.7952842942,92.4581478752,186.2.237.216
978,contingency,Jewelery,9.6183440766,90.6101801719,205.180.209.166
979,frame,Jewelery,16.693760061,95.531998196,112.254.137.217
980,Object-based,Beauty,30.0572115267,68.8866216938,46.248.230.221
981,Distributed,Kids,25.7951105842,80.6092707851,107.60.126.135
982,project,Music,13.119673308,95.7017697648,123.184.115.116
983,knowledge base,Beauty,13.658593534,73.5118974545,15.182.17.112
984,encryption,Automotive,17.313242013,84.3132745695,55.245.198.148
985,background,Sports,26.3110193306,76.82370818,87.204.47.75
986,hierarchy,Sports,10.1628615312,74.364385013,41.175.254.246
987,client-server,Grocery,14.1598360308,70.1346492809,166.22.131.105
988,function,Baby,11.955685736,82.9686586228,147.196.144.120
989,discrete,Jewelery,21.352886989,96.6425274009,50.64.55.197
990,solution,Beauty,22.4328871587,94.4421686699,124.42.116.208
991,user-facing,Home,19.1920516482,83.3315778055,45.37.79.146
992,system engine,Clothing,13.351731296,74.6385135062,246.153.181.10
993,artificial intelligence,Automotive,12.6727801898,72.0308578978,48.236.107.82
994,Assimilated,Toys,23.4551235773,85.1615460649,35.246.51.155
995,time-frame,Grocery,21.8907949074,90.8359606218,5.255.237.239
996,Stand-alone,Kids,14.287688361,90.9639255968,159.127.160.106
997,hybrid,Electronics,13.313609967,75.2706022409,220.164.84.103
998,synergy,Kids,32.094665295,88.7086948093,232.217.247.174
999,scalable,Grocery,8.4514204358,97.1382364122,137.217.110.110
1000,Polarised,Computers,17.3259974165,71.3193152353,24.187.205.160
